r_name,address,소재지지번주소,classification,영업장면적
미나토,"서울특별시 서초구 방배로23길 19, 1층 (방배동)",서울특별시 서초구 방배동  935번지 2호  1층,한식,97.68
서래횟집,"서울특별시 서초구 서래로5길 17, 1층 (반포동)",서울특별시 서초구 반포동  104번지 2호  1층,한식,63.2
김영희 강남동태찜 이수점,"서울특별시 서초구 서초대로 3-4, (방배동,방배디오슈페리움 1차 B117~119, B122~126호)","서울특별시 서초구 방배동  3001번지 2호  방배디오슈페리움 1차 B117~119, B122~126호",한식,191.6
수라빔,"서울특별시 서초구 신반포로 176, 1층중층 M8호 (반포동, 센트럴시티)",서울특별시 서초구 반포동  19번지 3호  1층중층 M8호 센트럴시티,한식,118.68
이모 전주콩나물 국밥,"서울특별시 서초구 강남대로99길 9, 2층 (잠원동)",서울특별시 서초구 잠원동  21번지 1호  2층,중국식,170.91
(주)톰볼라,"서울특별시 서초구 서래로7길 16, 1층 101호 (반포동)",서울특별시 서초구 반포동  106번지 8호  1층 101호,경양식,53.2
주미요,"서울특별시 서초구 사평대로18길 5, 위너스빌 1층 (반포동)","서울특별시 서초구 반포동  107번지 9호  1층, 위너스빌",중국식,131.18
들밥 나들이,"서울특별시 서초구 원터길 19, (원지동)",서울특별시 서초구 원지동  414번지 10호  (1층?),한식,120.73
여의도생고기,"서울특별시 서초구 신흥말길 27-9, 1층 (내곡동)",서울특별시 서초구 내곡동  1번지 273호  (지상1층),분식,179.08
수미관,"서울특별시 서초구 서초중앙로2길 38, 1층 (서초동)",서울특별시 서초구 서초동  1427번지 5호  1층,한식,297
경복궁서초점(주)엔타스,"서울특별시 서초구 서초중앙로 195, 3,4층 (반포동)","서울특별시 서초구 반포동  44번지 4호  ~6호 3, 4층",한식,1100.1
김대감봉평메밀촌,"서울특별시 서초구 방배중앙로 161, 2층 (방배동)",서울특별시 서초구 방배동  778번지 11호  2층,한식,131.04
일품헌,"서울특별시 서초구 남부순환로 2634-27, 가동 1층,2층 (양재동, 성원빌딩)","서울특별시 서초구 양재동  1번지 28호  성원빌딩 가동 1층,2층",중국식,662.5
장수원,"서울특별시 서초구 방배중앙로 153, 지하1층,1층,2층 (방배동)","서울특별시 서초구 방배동  778번지 27호  지하1층,1층,2층",한식,764.69
델리세,"서울특별시 서초구 동광로 106, (방배동)",서울특별시 서초구 방배동  807번지 9호  ,까페,231.11
원당감자탕,"서울특별시 서초구 방배천로4길 9, 2층 3층 (방배동)",서울특별시 서초구 방배동  451번지 8호  2층 3층,한식,235.24
우대포 양재점,"서울특별시 서초구 강남대로47길 20, (서초동)",서울특별시 서초구 서초동  1340번지 14호  ,한식,75.9
여진족,"서울특별시 서초구 방배천로4안길 12, 1층, 지하1층 (방배동)","서울특별시 서초구 방배동  451번지 5호  1층, 지하1층",한식,265.6
임금님밥상,"서울특별시 서초구 동광로11길 97, A동 1층 (방배동)",서울특별시 서초구 방배동  762번지 16호  A동 1층,한식,86.4
신의주찹쌀순대&숯불갈비,"서울특별시 서초구 방배천로6길 3-12, (방배동,(1층))",서울특별시 서초구 방배동  453번지 23호  (1층),한식,61.71
두껍삼 강남직영점,"서울특별시 서초구 서초대로78길 44, 1층 (서초동)",서울특별시 서초구 서초동  1330번지 16호  1층 (101호?),한식,435.4
빛고을으뜸추어탕,"서울특별시 서초구 서초중앙로26길 13, 1층 (서초동)",서울특별시 서초구 서초동  1697번지 15호  1층,한식,251.19
울돌목 가는길,"서울특별시 서초구 서초대로40길 41, 지하1층 (서초동)",서울특별시 서초구 서초동  1540번지 1호  ,한식,638.95
육갑식당,"서울특별시 서초구 서래로 33, 2층 (반포동)",서울특별시 서초구 반포동  95번지 7호  2층,한식,114.88
어랑 생선밥상,"서울특별시 서초구 사평대로55길 21-2, 1층 (반포동)",서울특별시 서초구 반포동  739번지 19호  1층,한식,87.23
오동도 산아나고 숯불구이,"서울특별시 서초구 서초대로 3-4, 103호, 103-1호 (방배동, 방배디오슈페리움1)","서울특별시 서초구 방배동  3001번지 2호  103호, 103-1호",한식,65.84
포메인서초점,"서울특별시 서초구 반포대로 104, 1층 (서초동)",서울특별시 서초구 서초동  1543번지 8호  1층 102호?,한식,78.5
됐소 강남,"서울특별시 서초구 서초대로78길 46, 2층, 3층 (서초동)",서울특별시 서초구 서초동  1330번지 15호  ,한식,637.2
도쿄하나 사당점,"서울특별시 서초구 방배천로 11, 3층 301호내 2호 (방배동, SK리더스뷰)",서울특별시 서초구 방배동  444번지 3호  ,일식,549.89
춘향골 추어탕,"서울특별시 서초구 서운로11길 10, 1층 (서초동)",서울특별시 서초구 서초동  1342번지 7호  1층,한식,277.28
da Pitta(다 피타),"서울특별시 서초구 효령로 202, 1층 (서초동)",서울특별시 서초구 서초동  1487번지 3호  1층,경양식,78.54
삼육가 사당역1호점,"서울특별시 서초구 방배천로 10, 1층 (방배동)",서울특별시 서초구 방배동  450번지 16호  1층,한식,278.46
영주축협 한우프라자 청계산역점,"서울특별시 서초구 청계산로 197, 4층, 5층 (신원동)","서울특별시 서초구 신원동  270번지 10호  4층, 5층",한식,1350.62
다피타(da pitta),"서울특별시 서초구 반포대로23길 32, 1층 101호 (서초동)",서울특별시 서초구 서초동  1503번지 16호  ,경양식,102.5
서울집,"서울특별시 서초구 서운로 220, 1층 5호,6호 (서초동, 대지프라자)","서울특별시 서초구 서초동  1302번지 2호  1층 5호, 6호 대지프라자",한식,82.5
우밀가 교대점,"서울특별시 서초구 법원로2길 15, 1층 104호 (서초동, 길도 BD )",서울특별시 서초구 서초동  1713번지 4호  길도 BD 1층-104,한식,287.26
리향,"서울특별시 서초구 반포대로28길 15, 2층 (서초동)",서울특별시 서초구 서초동  1552번지 7호  2층,중국식,212.21
경성회관,"서울특별시 서초구 서초대로55길 3, 1층 (서초동, 애니빌딩)",서울특별시 서초구 서초동  1696번지 13호  애니빌딩1층,한식,190.74
묘오또,"서울특별시 서초구 방배로28길 16, (방배동,1층)",서울특별시 서초구 방배동  850번지 1호  1층(104호?),한식,99
서울만남의광장휴게소 한식당,"서울특별시 서초구 양재대로12길 73-71, (원지동, 서울만남의광장휴게소 한식당)",서울특별시 서초구 원지동  10번지 16호  서울만남의광장휴게소 한식당,한식,91.24
리차이,"서울특별시 서초구 서초대로25길 17, (방배동,1층)",서울특별시 서초구 방배동  875번지 15호  1층,중국식,113.22
방배본가면옥,"서울특별시 서초구 방배로 41, 방배홈스텔 1층 102호 (방배동)",서울특별시 서초구 방배동  1031번지 2호  방배홈스텔 1층 102호,한식,160.5
만다린,"서울특별시 서초구 강남대로51길 5, 3층 (서초동)",서울특별시 서초구 서초동  1338번지 10호  3층전체,중국식,136.82
맷돌로만청계산점,"서울특별시 서초구 청룡마을3길 11, (신원동)",서울특별시 서초구 신원동  192번지 12호  ,한식,106
원조서초갈비,"서울특별시 서초구 반포대로 12, 2층 (서초동)",서울특별시 서초구 서초동  1451번지 77호  2층,한식,187.21
홍천한우,"서울특별시 서초구 효령로55길 47, (서초동,2층일부,3층일부)","서울특별시 서초구 서초동  1595번지 8호  2층일부,3층일부",한식,272.46
효소원 순두부와 청국장 그리고 전,"서울특별시 서초구 효령로34길 12, 1층 (방배동)",서울특별시 서초구 방배동  983번지 8호  1층,한식,190.8
정선콩국수 소소정,"서울특별시 서초구 동광로 68, 1층 (방배동)",서울특별시 서초구 방배동  813번지 8호  1층,한식,74.38
임광루,"서울특별시 서초구 방배로 28, 1층 9호, 1층 10호 (방배동)","서울특별시 서초구 방배동  1024번지 4호  1층 9호, 1층 10호",중국식,120.48
장꼬방,"서울특별시 서초구 강남대로61길 27, 1층 (서초동)",서울특별시 서초구 서초동  1316번지  1층,한식,115.5
국수명가,"서울특별시 서초구 효령로53길 14, (서초동)",서울특별시 서초구 서초동  1588번지 13호  ,분식,55
램하우스 서초법원점,"서울특별시 서초구 법원로2길 15, (서초동,,5,6 (202호))","서울특별시 서초구 서초동  1713번지 4호  ,5,6 (202호)",한식,196
명선헌,"서울특별시 서초구 서운로 39, 원진빌딩 지하1층 (서초동)",서울특별시 서초구 서초동  1344번지 12호  지하1층,한식,287.06
방배 육감,"서울특별시 서초구 효령로 19, 1,2층 (방배동, 지상)","서울특별시 서초구 방배동  475번지 29호  지상1층,2층",한식,264
방배골,"서울특별시 서초구 동광로 7-4, (방배동)",서울특별시 서초구 방배동  2096번지  ,한식,73.38
서초LA,"서울특별시 서초구 반포대로21길 36, (서초동)",서울특별시 서초구 서초동  1511번지 12호  ,한식,109.1
함평한우 고깃집,"서울특별시 서초구 효령로49길 15, 1층 (서초동)",서울특별시 서초구 서초동  1531번지 8호  1층,한식,234.6
제주어항1950,"서울특별시 서초구 방배로 189, 1층 (방배동)",서울특별시 서초구 방배동  836번지 5호  ,한식,153.79
어진,"서울특별시 서초구 강남대로18길 15-11, 1,2층 (양재동)",서울특별시 서초구 양재동  242번지 4호  ,한식,222.4
한국회관,"서울특별시 서초구 사평대로18길 10, (반포동,가동 1층,2층)","서울특별시 서초구 반포동  107번지 45호  가동 1층,2층",한식,350.52
강남따로국밥,"서울특별시 서초구 신반포로47길 118, 2층 (잠원동, 근생빌딩A동)",서울특별시 서초구 잠원동  20번지 1호  근생빌딩A동 2층,한식,165
송쉐프,"서울특별시 서초구 남부순환로339길 33, (서초동)",서울특별시 서초구 서초동  1431번지 14호  ,중국식,116.49
양모리 양대창,"서울특별시 서초구 방배로 174, 107호 (방배동)",서울특별시 서초구 방배동  851번지 6호  107호,한식,138.6
민어사랑,"서울특별시 서초구 효령로 182-8, 1층 (방배동)",서울특별시 서초구 방배동  1001번지 9호  1층,한식,162.5
약초마을,"서울특별시 서초구 강남대로2길 3, (양재동,1층)",서울특별시 서초구 양재동  353번지 5호  1층,한식,82.5
유다까 회전초밥전문점,"서울특별시 서초구 방배로 215, (방배동,1층)",서울특별시 서초구 방배동  813번지 6호  1층,일식,170.23
루안,"서울특별시 서초구 방배중앙로 214, (방배동,지하1층)",서울특별시 서초구 방배동  751번지 1호  지하1층,중국식,415
평가옥,"서울특별시 서초구 논현로 69, (양재동,1층,2층)","서울특별시 서초구 양재동  277번지 2호  1층,2층",한식,274.68
평가옥(반포점),"서울특별시 서초구 사평대로 353, (반포동,서일빌딩 1층 (103-107호))",서울특별시 서초구 반포동  746번지 5호  서일빌딩 1층 (103-107호),한식,310.83
한우명가 노고단,"서울특별시 서초구 법원로 16, (서초동,정곡빌딩 동관 지하15호)",서울특별시 서초구 서초동  1704번지 1호  정곡빌딩 동관 지하15호,한식,280
하남돼지집 교대점,"서울특별시 서초구 서초대로46길 99, 1층 (서초동)",서울특별시 서초구 서초동  1567번지 8호  1층,한식,140
진상샤브샤브,"서울특별시 서초구 효령로77길 30, 지하1층 (서초동, 강남역 푸르지오시티)",서울특별시 서초구 서초동  1337번지 3호  강남역 푸르지오시티 지하1층,한식,205.54
황제,"서울특별시 서초구 서래로7길 19, (반포동,(지상2층))",서울특별시 서초구 반포동  105번지 1호  (지상2층),중국식,91.08
구이마마,"서울특별시 서초구 강남대로25길 59, (양재동,1층)",서울특별시 서초구 양재동  114번지  1층,한식,103.5
신선설농탕,"서울특별시 서초구 효령로 322, (서초동,1층)",서울특별시 서초구 서초동  1443번지 8호  1층,한식,189.6
서래본가,"서울특별시 서초구 사평대로 126, (반포동,1층,2층,3층)","서울특별시 서초구 반포동  93번지 1호  1층,2층,3층",한식,907.1
서초아구찜,"서울특별시 서초구 효령로55길 15, 1층 105호 (서초동)",서울특별시 서초구 서초동  1588번지 8호  1층 105호,한식,63.28
기와집순두부 서초점,"서울특별시 서초구 서초대로51길 14, 지하1층 (서초동)",서울특별시 서초구 서초동  1695번지 5호  지하1층,한식,391.15
주식회사 서석대,"서울특별시 서초구 서초대로 346, 102호 (서초동, 서초동 동아빌라트)",서울특별시 서초구 서초동  1678번지 1호  서초동 동아빌라트 102호,한식,428.84
만다린,"서울특별시 서초구 방배로6길 10-15, 1층 (방배동)",서울특별시 서초구 방배동  1020번지 2호  1층,중국식,290.54
주식회사 맛있는이야기 노랑저고리,"서울특별시 서초구 서초대로73길 9, (서초동,타임빌딩 601호)",서울특별시 서초구 서초동  1316번지 29호  타임빌딩 601호,한식,348.32
듬북담북(뱅뱅점),"서울특별시 서초구 효령로 430, 1층 (서초동)",서울특별시 서초구 서초동  1340번지 3호  1층,한식,148.79
정여사 손칼국수,"서울특별시 서초구 바우뫼로 23, 201호 (우면동)",서울특별시 서초구 우면동  64번지 2호  -201,분식,129.43
황궁,"서울특별시 서초구 법원로 15, 지하1층 (서초동)",서울특별시 서초구 서초동  1705번지  정곡빌딩서관 지하1층,중국식,193.8
바르미샤브샤브앤칼국수,"서울특별시 서초구 방배천로 11, 2층 202-2호 (방배동)",서울특별시 서초구 방배동  444번지 3호  2층-202-2,기타,392.92
우리바다생태찌개,"서울특별시 서초구 반포대로24길 82, (서초동,1층)",서울특별시 서초구 서초동  1564번지 12호  1층,한식,148.5
의정부 평양면옥,"서울특별시 서초구 강남대로93길 28, 1,2층 (잠원동)","서울특별시 서초구 잠원동  29번지 23호  1,2층",한식,334.88
대나무골,"서울특별시 서초구 법원로3길 15, (서초동)",서울특별시 서초구 서초동  1709번지 4호  ,한식,141.26
오선채,"서울특별시 서초구 남부순환로 2634-8, 지하1층 (양재동)",서울특별시 서초구 양재동  1번지 23호  (지하 1층?),한식,560.15
해늘찹쌀순대,"서울특별시 서초구 동산로 89, 2층 (양재동)",서울특별시 서초구 양재동  289번지 8호  2층,한식,101.88
신태평양,"서울특별시 서초구 서초대로 307, 지하1층 가호 (서초동)",서울특별시 서초구 서초동  1692번지 4호  지하1층-가,일식,268.69
삼성각,"서울특별시 서초구 서초대로78길 42, (서초동,2층)",서울특별시 서초구 서초동  1330번지 18호  2층,중국식,346.7
태평양,"서울특별시 서초구 서초중앙로24길 18, 지하1층 (서초동)","서울특별시 서초구 서초동  1691번지 1호  지하1층,",일식,256.97
봉추찜닭,"서울특별시 서초구 반포대로28길 91, 101호 (서초동)",서울특별시 서초구 서초동  1574번지 6호  -101,한식,80.84
늘봄웰봄,"서울특별시 서초구 서초중앙로 188, (서초동, 아크로비스타지하1층지하A-105,A-106,A-107호)","서울특별시 서초구 서초동  1685번지 3호  아크로비스타지하1층지하A-105,A-106,A-107호",한식,358.49
포폴라리타,"서울특별시 서초구 사평대로22길 41, 1층 (반포동)",서울특별시 서초구 반포동  96번지 1호  1층,경양식,79.74
장원한정식,"서울특별시 서초구 법원로2길 19, (서초동)",서울특별시 서초구 서초동  1714번지 16호  ,한식,231
신가예촌,"서울특별시 서초구 서운로 11, 서초대우디오빌 1층 106호 (서초동)",서울특별시 서초구 서초동  1355번지 17호  서초대우디오빌 1층 106호,한식,253.56
명동보리밥 방배점,"서울특별시 서초구 서초대로 108, (방배동,지상2층 201호)",서울특별시 서초구 방배동  898번지 3호  지상2층 201호,한식,165
방배골식당,"서울특별시 서초구 방배로8길 6, (방배동,(지상2층))",서울특별시 서초구 방배동  1022번지 2호  (지상2층),한식,79.2
송강,"서울특별시 서초구 명달로9길 5, (방배동,1층)",서울특별시 서초구 방배동  1002번지 1호  1층,한식,151.38
서초 불쭈꾸미,"서울특별시 서초구 서초대로42길 29, (서초동,지상1층)",서울특별시 서초구 서초동  1552번지 6호  지상1층,한식,132
나나마구로,"서울특별시 서초구 반포대로28길 65-4, 1,2층 (서초동)","서울특별시 서초구 서초동  1571번지 6호  1층, 2층",일식,201.97
참이맛 감자탕,"서울특별시 서초구 사평대로56길 10, 1층 (서초동)",서울특별시 서초구 서초동  1302번지 44호  1층,한식,199.92
서동한우 강남점,"서울특별시 서초구 서초대로74길 29, 201호,208호 (서초동, 서초파라곤)","서울특별시 서초구 서초동  1327번지 29호  서초파라곤 201호,208호",한식,341.42
원당,"서울특별시 서초구 반포대로28길 69, (서초동)",서울특별시 서초구 서초동  1571번지 26호  ,한식,126.27
송이하랑,"서울특별시 서초구 서초대로 21, (방배동,지상1층,2층)","서울특별시 서초구 방배동  866번지 6호  지상1층,2층",한식,148
이남장(서초점),"서울특별시 서초구 서초대로49길 4, 1층,2층,3층 (서초동)","서울특별시 서초구 서초동  1715번지 1호  1층,2층,3층",한식,509.27
북해도,"서울특별시 서초구 서초대로 265, 지하1층 (서초동)",서울특별시 서초구 서초동  1717번지 6호  지하1층,일식,206.84
갈비사랑,"서울특별시 서초구 강남대로 204, 지층,지상1,2,3,4,5층 (양재동)","서울특별시 서초구 양재동  14번지 3호  지1층,지상1,2,3,4,5층",한식,1159.74
진대감,"서울특별시 서초구 나루터로12길 18, 1층 (잠원동, 수인빌딩)",서울특별시 서초구 잠원동  23번지 8호  수인빌딩 지상1층,한식,206.11
초선과여포,"서울특별시 서초구 서초대로78길 44, (서초동,201호)",서울특별시 서초구 서초동  1330번지 16호  201호,중국식,92.4
가조고향마을,"서울특별시 서초구 반포대로30길 18, (서초동,1층)",서울특별시 서초구 서초동  1552번지 16호  1층,한식,148.5
내고향본가,"서울특별시 서초구 나루터로 69, 샤르망 101호 (잠원동)",서울특별시 서초구 잠원동  15번지 4호  샤르망,한식,124.42
(주)배나무골,"서울특별시 서초구 마방로2길 12, (양재동)",서울특별시 서초구 양재동  241번지 3호  ,한식,231.76
삼호복집,"서울특별시 서초구 강남대로99길 19, 용량빌딩 1층 (잠원동)",서울특별시 서초구 잠원동  22번지 17호  용량빌딩 1층,복어취급,151.45
삼호복집,"서울특별시 서초구 강남대로51길 5, (서초동)",서울특별시 서초구 서초동  1338번지 10호  ,복어취급,239.8
영변,"서울특별시 서초구 반포대로23길 22, 2층 (서초동, 영변빌딩)",서울특별시 서초구 서초동  1503번지 13호  2층,일식,161.58
우작설렁탕,"서울특별시 서초구 서초중앙로6길 7, (서초동)",서울특별시 서초구 서초동  1621번지 5호  ,한식,110.57
봉평고향메밀촌,"서울특별시 서초구 신반포로45길 26, 동화빌딩 1층 (잠원동)",서울특별시 서초구 잠원동  39번지 1호  동화빌딩 1층,한식,106.34
한촌설렁탕,"서울특별시 서초구 동산로 87, (양재동)",서울특별시 서초구 양재동  289번지 9호  ,한식,102.35
조가네 갑오징어 방배카페거리점,"서울특별시 서초구 방배중앙로 173, 1층 (방배동)",서울특별시 서초구 방배동  768번지 13호  1층,한식,134.3
서초정육식당,"서울특별시 서초구 서초대로38길 51, (서초동)",서울특별시 서초구 서초동  1503번지 19호  ,한식,85
서초버드나무집,"서울특별시 서초구 효령로 434, (서초동)",서울특별시 서초구 서초동  1340번지 5호  ,한식,839.07
진동둔횟집,"서울특별시 서초구 강남대로91길 18, 지하1층,1층,2층 (잠원동)","서울특별시 서초구 잠원동  36번지 18호  지하1층,1층,2층",일식,948.82
소들녘 서초점,"서울특별시 서초구 효령로 232, 1,2층 (서초동)",서울특별시 서초구 서초동  1485번지 5호  (소방 1 2층),한식,571.66
서초원,"서울특별시 서초구 서초대로 283, (서초동)",서울특별시 서초구 서초동  1715번지 10호  (지하 1층?),한식,451.61
오발탄,"서울특별시 서초구 반포대로 154, 1,2,3층 (서초동)","서울특별시 서초구 서초동  1720번지 1호  1,2,3층",한식,683.77
